,high,low,open,close,adjust,volume_match,value_match
297,0.400673,0.391608,0.414943,97.0,0.217177,0.039062,0.051275
298,0.369248,0.374126,0.37931,96.0,0.200642,0.072654,0.095597
299,0.384961,0.374126,0.381609,95.0,0.184353,0.050324,0.065282
300,0.342312,0.304196,0.344828,89.0,0.086377,0.119907,0.150951
301,0.312009,0.304196,0.298851,90.0,0.102665,0.097969,0.121839
302,0.287318,0.242424,0.3,83.7,0.0,0.091792,0.105581
303,0.278339,0.242424,0.237931,86.1,0.03924,0.07032,0.08113
304,0.320988,0.317016,0.317241,92.0,0.135489,0.130373,0.165943
305,0.353535,0.301865,0.336782,94.0,0.168065,0.109457,0.142579
306,0.356902,0.339161,0.344828,94.1,0.169793,0.119015,0.155942
307,0.325477,0.304196,0.310345,91.2,0.122409,0.061714,0.07586
308,0.335578,0.315851,0.33908,91.0,0.1192,0.048941,0.059783
309,0.342312,0.327506,0.321839,94.0,0.168065,0.042351,0.052274
310,0.359147,0.362471,0.362069,95.0,0.184353,0.079657,0.104144
311,0.371493,0.374126,0.385057,96.2,0.204097,0.07516,0.099342
312,0.398429,0.38345,0.385057,98.5,0.241609,0.095882,0.129634
313,0.398429,0.391608,0.402299,99.0,0.249753,0.030335,0.039175
314,0.419753,0.423077,0.424138,100.1,0.267769,0.045456,0.062421
315,0.409652,0.410256,0.425287,99.6,0.259625,0.040231,0.054266
316,0.407407,0.412587,0.42069,99.1,0.251234,0.041007,0.055167
317,0.406285,0.417249,0.41954,99.0,0.249753,0.037744,0.050498
318,0.406285,0.423077,0.421839,99.2,0.252962,0.029435,0.038917
319,0.40404,0.41958,0.417241,99.3,0.254689,0.042348,0.057031
320,0.410774,0.420746,0.425287,99.3,0.254689,0.071651,0.098664
321,0.42312,0.432401,0.425287,100.0,0.266041,0.057488,0.079669
322,0.409652,0.38345,0.425287,96.8,0.213722,0.088996,0.121055
323,0.382716,0.38345,0.38046,97.5,0.225321,0.039008,0.050515
324,0.393939,0.384615,0.409195,96.1,0.202369,0.056122,0.074194
325,0.441077,0.403263,0.417241,102.8,0.311698,0.160624,0.229067
326,0.482604,0.465035,0.5,102.8,0.311698,0.08043,0.118146
327,0.443322,0.428904,0.457471,100.5,0.274186,0.054126,0.075423
328,0.40853,0.420746,0.413793,99.0,0.249753,0.071736,0.098764
329,0.398429,0.397436,0.390805,97.6,0.226802,0.046195,0.061307
330,0.419753,0.409091,0.411494,100.5,0.274186,0.042738,0.058046
331,0.426487,0.428904,0.433333,101.5,0.290474,0.039922,0.05482
332,0.452301,0.449883,0.443678,103.4,0.32157,0.062833,0.089514
333,0.494949,0.479021,0.477011,105.0,0.34773,0.13953,0.208487
334,0.505051,0.487179,0.522989,108.5,0.404738,0.072843,0.109649
335,0.571268,0.518648,0.522989,113.9,0.492843,0.128055,0.201874
336,0.578002,0.548951,0.577011,113.7,0.489635,0.107123,0.172606
337,0.565657,0.578089,0.570115,113.0,0.478282,0.053946,0.086996
338,0.561167,0.541958,0.574713,110.8,0.442251,0.09814,0.155246
339,0.542088,0.537296,0.549425,111.1,0.447187,0.030021,0.046765
340,0.571268,0.575758,0.583908,112.6,0.471619,0.055606,0.089815
341,0.571268,0.578089,0.568966,114.0,0.494571,0.044457,0.071976
342,0.578002,0.589744,0.586207,115.0,0.510859,0.062777,0.102647
343,0.575758,0.589744,0.590805,114.4,0.501234,0.03887,0.063406
344,0.607183,0.596737,0.591954,117.6,0.553307,0.062766,0.104453
345,0.611672,0.609557,0.632184,117.6,0.553307,0.034084,0.057499
346,0.609428,0.607226,0.628736,115.0,0.510859,0.040081,0.066711
347,0.589226,0.604895,0.597701,114.8,0.507651,0.035106,0.057798
348,0.580247,0.589744,0.58046,115.0,0.510859,0.044648,0.072978
349,0.600449,0.608392,0.598851,116.1,0.528875,0.037143,0.06197
350,0.600449,0.615385,0.610345,116.0,0.527147,0.029712,0.04965
351,0.612795,0.614219,0.611494,116.6,0.537019,0.050321,0.084136
352,0.61055,0.630536,0.62069,117.8,0.556515,0.022215,0.037836
353,0.62514,0.62704,0.629885,119.2,0.579467,0.038554,0.065897
354,0.672278,0.655012,0.645977,122.8,0.638203,0.055,0.097289
355,0.701459,0.701632,0.690805,125.0,0.674235,0.068633,0.124483
356,0.701459,0.698135,0.724138,123.0,0.641412,0.046493,0.084408
357,0.690236,0.677156,0.689655,122.3,0.630059,0.039598,0.071355
358,0.631874,0.602564,0.632184,118.0,0.55997,0.10169,0.171078
359,0.64422,0.572261,0.655172,112.0,0.461994,0.085619,0.14114
360,0.606061,0.595571,0.593103,117.0,0.543682,0.027452,0.045564
