,high,low,open,close,adjust,volume_match,value_match
249,0.586371,0.600962,0.588328,90.2,0.383444,0.014564,0.015711
250,0.591125,0.594551,0.582019,90.8,0.389629,0.039923,0.038257
251,0.597464,0.597756,0.602524,89.9,0.380352,0.064356,0.060017
252,0.561014,0.559295,0.566246,87.5,0.355614,0.120445,0.106621
253,0.535658,0.525641,0.531546,87.8,0.358706,0.142158,0.122176
254,0.535658,0.538462,0.529968,87.0,0.350381,0.09471,0.082545
255,0.551506,0.5625,0.542587,88.7,0.367983,0.094773,0.084054
256,0.575277,0.565705,0.55836,89.5,0.376308,0.225913,0.198174
257,0.565769,0.583333,0.563091,89.4,0.375119,0.147273,0.130991
258,0.568938,0.584936,0.570978,89.4,0.375119,0.140179,0.125054
259,0.562599,0.580128,0.572555,89.3,0.374167,0.216935,0.191518
260,0.573693,0.581731,0.567823,89.5,0.376308,0.167972,0.149215
261,0.640254,0.591346,0.570978,94.5,0.427926,0.338892,0.307777
262,0.645008,0.655449,0.649842,94.0,0.422693,0.112631,0.107308
263,0.641838,0.657051,0.640379,94.0,0.422693,0.099163,0.094699
264,0.648177,0.649038,0.641956,93.4,0.416508,0.120054,0.113804
265,0.606973,0.551282,0.611987,88.9,0.369886,0.554418,0.484712
266,0.565769,0.5625,0.547319,88.7,0.367983,0.184046,0.161995
267,0.572108,0.487179,0.55836,88.7,0.367983,0.214524,0.183911
268,0.565769,0.5625,0.563091,89.8,0.379401,0.159302,0.140732
269,0.575277,0.580128,0.582019,88.9,0.369886,0.096182,0.086485
270,0.583201,0.580128,0.569401,89.4,0.375119,0.121988,0.109638
271,0.581616,0.583333,0.57571,90.0,0.381304,0.167802,0.14989
272,0.561014,0.575321,0.566246,88.9,0.369886,0.075922,0.068534
273,0.561014,0.581731,0.563091,89.2,0.373216,0.06176,0.056361
274,0.565769,0.584936,0.57571,89.4,0.375119,0.076361,0.069328
275,0.561014,0.580128,0.566246,89.3,0.374167,0.080196,0.072346
276,0.565769,0.583333,0.563091,89.3,0.374167,0.047507,0.044046
277,0.567353,0.584936,0.567823,89.4,0.375119,0.033011,0.031464
278,0.562599,0.583333,0.572555,89.4,0.375119,0.04752,0.044012
279,0.561014,0.583333,0.563091,89.5,0.376308,0.019985,0.019978
280,0.575277,0.586538,0.574132,89.5,0.376308,0.06517,0.059776
281,0.561014,0.583333,0.570978,89.0,0.371075,0.123419,0.109963
282,0.537242,0.535256,0.515773,87.2,0.352521,0.139327,0.120654
283,0.521395,0.532051,0.515773,86.2,0.342055,0.177421,0.151374
